Lp.;Nazwa łacińska;Nazwa polska;Występowanie w środowisku przyrodniczym w Polsce;Kategoria stopnia inwazyjności;Kategoria stopnia rozprzestrzenienia;Mapa występowania w Geoserwisie GDOŚ
32.;Cornus sericea;Dereń rozłogowy;TAK;średnio inwazyjny gatunek obcy;ograniczony zasięg występowania;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=34
33.;Corvus splendens;Wrona orientalna;TAK;bardzo inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=111
34.;Crassostrea gigas;Ostryga pacyficzna;NIE;mało inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
35.;Crassula helmsii;Grubosz Helmsa;NIE;mało inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
36.;Cynops pyrrhogaster;Traszka japońska;NIE;mało inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
37.;Echinocystis lobata;Kolczurka klapowana;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=50
38.;Eichhornia crassipes;Eichornia gruboogonkowa;NIE;mało inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
39.;Elodea canadensis;Moczarka kanadyjska;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=61
40.;Elodea nuttallii;Moczarka delikatna;TAK;średnio inwazyjny gatunek obcy;ograniczony zasięg występowania;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=60
41.;Eragrostis albensis;Miłka połabska;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=362
42.;Eriocheir sinensis;Krab wełnistoręki;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=51
43.;Fraxinus pennsylvanica;Jesion pensylwański;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=44
44.;Graptemys pseudogeographica;Żółw ostrogrzbiety;TAK;średnio inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=117
45.;Gunnera tinctoria;Gunera chilijska;NIE;mało inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
46.;Harmonia axyridis;Biedronka azjatycka;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=25
47.;Helianthus tuberosus;Słonecznik bulwiasty;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=91
48.;Heracleum mantegazzianum;Barszcz Mantegazziego;TAK;bardzo inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=21
49.;Heracleum persicum;Barszcz perski;NIE;bardzo inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
50.;Heracleum sosnowskyi;Barszcz Sosnowskiego;TAK;bardzo inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=23
51.;Herpestes javanicus;Mangusta złocista;NIE;średnio inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
52.;Hydrocotyle ranunculoides;Wąkrota jaskrowata;NIE;średnio inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
53.;Impatiens capensis;Niecierpek pomarańczowy;TAK;średnio inwazyjny gatunek obcy;ograniczony zasięg występowania;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=68
54.;Impatiens glandulifera;Niecierpek gruczołowaty;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=67
55.;Impatiens parviflora;Niecierpek drobnokwiatowy;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=66
